mapping_id,user_term,snomed_code,preferred_term
SNOMED-MAP-300048,penicillin allergy (variant 3),919360058,Allergy to Penicillin
SNOMED-MAP-300049,sulfa allergy (variant 4),919310009,Allergy to Sulfonamide
SNOMED-MAP-300050,heart attack (variant 0),570540050,Acute Myocardial Infarction
SNOMED-MAP-300051,high blood pressure (variant 1),383410031,Essential Hypertension
SNOMED-MAP-300052,high fever (variant 2),3866610062,Fever
SNOMED-MAP-300053,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300054,shortness of breath (variant 4),2670360074,Dyspnea
SNOMED-MAP-300055,high blood pressure (variant 0),383410035,Essential Hypertension
SNOMED-MAP-300056,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300057,chest pain (variant 2),298570097,Chest Pain
SNOMED-MAP-300058,chest pain (variant 3),298570098,Chest Pain
SNOMED-MAP-300059,heart attack (variant 4),570540059,Acute Myocardial Infarction
SNOMED-MAP-300060,sulfa allergy (variant 0),919310000,Allergy to Sulfonamide
SNOMED-MAP-300061,sulfa allergy (variant 1),919310001,Allergy to Sulfonamide
SNOMED-MAP-300062,high fever (variant 2),3866610062,Fever
SNOMED-MAP-300063,shortness of breath (variant 3),2670360073,Dyspnea
SNOMED-MAP-300064,sulfa allergy (variant 4),919310004,Allergy to Sulfonamide
SNOMED-MAP-300065,gallbladder infection (variant 0),765810065,Acute Cholecystitis
SNOMED-MAP-300066,high blood pressure (variant 1),383410036,Essential Hypertension
SNOMED-MAP-300067,sulfa allergy (variant 2),919310007,Allergy to Sulfonamide
SNOMED-MAP-300068,high fever (variant 3),3866610068,Fever
SNOMED-MAP-300069,penicillin allergy (variant 4),919360059,Allergy to Penicillin
SNOMED-MAP-300070,penicillin allergy (variant 0),919360050,Allergy to Penicillin
SNOMED-MAP-300071,sugar diabetes (variant 1),440540061,Type 2 Diabetes Mellitus
SNOMED-MAP-300072,high blood pressure (variant 2),383410032,Essential Hypertension
SNOMED-MAP-300073,kidney failure (variant 3),4322460063,Chronic Kidney Disease Stage 3
SNOMED-MAP-300074,high blood pressure (variant 4),383410034,Essential Hypertension
SNOMED-MAP-300075,sugar diabetes (variant 0),440540065,Type 2 Diabetes Mellitus
SNOMED-MAP-300076,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300077,kidney failure (variant 2),4322460067,Chronic Kidney Disease Stage 3
SNOMED-MAP-300078,high fever (variant 3),3866610068,Fever
SNOMED-MAP-300079,sugar diabetes (variant 4),440540069,Type 2 Diabetes Mellitus
SNOMED-MAP-300080,high fever (variant 0),3866610060,Fever
SNOMED-MAP-300081,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300082,high blood pressure (variant 2),383410032,Essential Hypertension
SNOMED-MAP-300083,kidney failure (variant 3),4322460063,Chronic Kidney Disease Stage 3
SNOMED-MAP-300084,kidney failure (variant 4),4322460064,Chronic Kidney Disease Stage 3
SNOMED-MAP-300085,penicillin allergy (variant 0),919360055,Allergy to Penicillin
SNOMED-MAP-300086,high fever (variant 1),3866610066,Fever
SNOMED-MAP-300087,shortness of breath (variant 2),2670360077,Dyspnea
SNOMED-MAP-300088,shortness of breath (variant 3),2670360078,Dyspnea
SNOMED-MAP-300089,chest pain (variant 4),298570099,Chest Pain
SNOMED-MAP-300090,high fever (variant 0),3866610060,Fever
SNOMED-MAP-300091,chest pain (variant 1),298570091,Chest Pain
SNOMED-MAP-300092,heart attack (variant 2),570540052,Acute Myocardial Infarction
SNOMED-MAP-300093,chest pain (variant 3),298570093,Chest Pain
SNOMED-MAP-300094,high fever (variant 4),3866610064,Fever
SNOMED-MAP-300095,sugar diabetes (variant 0),440540065,Type 2 Diabetes Mellitus
SNOMED-MAP-300096,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300097,kidney failure (variant 2),4322460067,Chronic Kidney Disease Stage 3
SNOMED-MAP-300098,chest pain (variant 3),298570098,Chest Pain
SNOMED-MAP-300099,penicillin allergy (variant 4),919360059,Allergy to Penicillin
SNOMED-MAP-300100,sugar diabetes (variant 0),440540060,Type 2 Diabetes Mellitus
SNOMED-MAP-300101,penicillin allergy (variant 1),919360051,Allergy to Penicillin
SNOMED-MAP-300102,heart attack (variant 2),570540052,Acute Myocardial Infarction
SNOMED-MAP-300103,sulfa allergy (variant 3),919310003,Allergy to Sulfonamide
SNOMED-MAP-300104,kidney failure (variant 4),4322460064,Chronic Kidney Disease Stage 3
SNOMED-MAP-300105,penicillin allergy (variant 0),919360055,Allergy to Penicillin
SNOMED-MAP-300106,high fever (variant 1),3866610066,Fever
SNOMED-MAP-300107,sulfa allergy (variant 2),919310007,Allergy to Sulfonamide
SNOMED-MAP-300108,kidney failure (variant 3),4322460068,Chronic Kidney Disease Stage 3
SNOMED-MAP-300109,heart attack (variant 4),570540059,Acute Myocardial Infarction
SNOMED-MAP-300110,kidney failure (variant 0),4322460060,Chronic Kidney Disease Stage 3
SNOMED-MAP-300111,penicillin allergy (variant 1),919360051,Allergy to Penicillin
SNOMED-MAP-300112,high blood pressure (variant 2),383410032,Essential Hypertension
SNOMED-MAP-300113,chest pain (variant 3),298570093,Chest Pain
SNOMED-MAP-300114,heart attack (variant 4),570540054,Acute Myocardial Infarction
SNOMED-MAP-300115,penicillin allergy (variant 0),919360055,Allergy to Penicillin
SNOMED-MAP-300116,gallbladder infection (variant 1),765810066,Acute Cholecystitis
SNOMED-MAP-300117,high fever (variant 2),3866610067,Fever
SNOMED-MAP-300118,heart attack (variant 3),570540058,Acute Myocardial Infarction
SNOMED-MAP-300119,chest pain (variant 4),298570099,Chest Pain
SNOMED-MAP-300120,sugar diabetes (variant 0),440540060,Type 2 Diabetes Mellitus
SNOMED-MAP-300121,kidney failure (variant 1),4322460061,Chronic Kidney Disease Stage 3
SNOMED-MAP-300122,kidney failure (variant 2),4322460062,Chronic Kidney Disease Stage 3
SNOMED-MAP-300123,sugar diabetes (variant 3),440540063,Type 2 Diabetes Mellitus
SNOMED-MAP-300124,shortness of breath (variant 4),2670360074,Dyspnea
SNOMED-MAP-300125,high blood pressure (variant 0),383410035,Essential Hypertension
SNOMED-MAP-300126,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300127,kidney failure (variant 2),4322460067,Chronic Kidney Disease Stage 3
SNOMED-MAP-300128,heart attack (variant 3),570540058,Acute Myocardial Infarction
SNOMED-MAP-300129,penicillin allergy (variant 4),919360059,Allergy to Penicillin
SNOMED-MAP-300130,gallbladder infection (variant 0),765810060,Acute Cholecystitis
SNOMED-MAP-300131,gallbladder infection (variant 1),765810061,Acute Cholecystitis
SNOMED-MAP-300132,kidney failure (variant 2),4322460062,Chronic Kidney Disease Stage 3
SNOMED-MAP-300133,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300134,penicillin allergy (variant 4),919360054,Allergy to Penicillin
SNOMED-MAP-300135,heart attack (variant 0),570540055,Acute Myocardial Infarction
SNOMED-MAP-300136,chest pain (variant 1),298570096,Chest Pain
SNOMED-MAP-300137,gallbladder infection (variant 2),765810067,Acute Cholecystitis
SNOMED-MAP-300138,gallbladder infection (variant 3),765810068,Acute Cholecystitis
SNOMED-MAP-300139,high fever (variant 4),3866610069,Fever
SNOMED-MAP-300140,penicillin allergy (variant 0),919360050,Allergy to Penicillin
SNOMED-MAP-300141,kidney failure (variant 1),4322460061,Chronic Kidney Disease Stage 3
SNOMED-MAP-300142,chest pain (variant 2),298570092,Chest Pain
SNOMED-MAP-300143,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300144,sugar diabetes (variant 4),440540064,Type 2 Diabetes Mellitus
SNOMED-MAP-300145,shortness of breath (variant 0),2670360075,Dyspnea
SNOMED-MAP-300146,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300147,kidney failure (variant 2),4322460067,Chronic Kidney Disease Stage 3
SNOMED-MAP-300148,heart attack (variant 3),570540058,Acute Myocardial Infarction
SNOMED-MAP-300149,kidney failure (variant 4),4322460069,Chronic Kidney Disease Stage 3
SNOMED-MAP-300150,kidney failure (variant 0),4322460060,Chronic Kidney Disease Stage 3
SNOMED-MAP-300151,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300152,sulfa allergy (variant 2),919310002,Allergy to Sulfonamide
SNOMED-MAP-300153,high fever (variant 3),3866610063,Fever
SNOMED-MAP-300154,high fever (variant 4),3866610064,Fever
SNOMED-MAP-300155,high blood pressure (variant 0),383410035,Essential Hypertension
SNOMED-MAP-300156,chest pain (variant 1),298570096,Chest Pain
SNOMED-MAP-300157,sugar diabetes (variant 2),440540067,Type 2 Diabetes Mellitus
SNOMED-MAP-300158,gallbladder infection (variant 3),765810068,Acute Cholecystitis
SNOMED-MAP-300159,chest pain (variant 4),298570099,Chest Pain
SNOMED-MAP-300160,high fever (variant 0),3866610060,Fever
SNOMED-MAP-300161,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300162,high fever (variant 2),3866610062,Fever
SNOMED-MAP-300163,penicillin allergy (variant 3),919360053,Allergy to Penicillin
SNOMED-MAP-300164,kidney failure (variant 4),4322460064,Chronic Kidney Disease Stage 3
SNOMED-MAP-300165,gallbladder infection (variant 0),765810065,Acute Cholecystitis
SNOMED-MAP-300166,penicillin allergy (variant 1),919360056,Allergy to Penicillin
SNOMED-MAP-300167,shortness of breath (variant 2),2670360077,Dyspnea
SNOMED-MAP-300168,sulfa allergy (variant 3),919310008,Allergy to Sulfonamide
SNOMED-MAP-300169,high blood pressure (variant 4),383410039,Essential Hypertension
SNOMED-MAP-300170,gallbladder infection (variant 0),765810060,Acute Cholecystitis
SNOMED-MAP-300171,high blood pressure (variant 1),383410031,Essential Hypertension
SNOMED-MAP-300172,kidney failure (variant 2),4322460062,Chronic Kidney Disease Stage 3
SNOMED-MAP-300173,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300174,kidney failure (variant 4),4322460064,Chronic Kidney Disease Stage 3
SNOMED-MAP-300175,chest pain (variant 0),298570095,Chest Pain
SNOMED-MAP-300176,chest pain (variant 1),298570096,Chest Pain
SNOMED-MAP-300177,chest pain (variant 2),298570097,Chest Pain
SNOMED-MAP-300178,chest pain (variant 3),298570098,Chest Pain
SNOMED-MAP-300179,gallbladder infection (variant 4),765810069,Acute Cholecystitis
SNOMED-MAP-300180,chest pain (variant 0),298570090,Chest Pain
SNOMED-MAP-300181,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300182,kidney failure (variant 2),4322460062,Chronic Kidney Disease Stage 3
SNOMED-MAP-300183,sulfa allergy (variant 3),919310003,Allergy to Sulfonamide
SNOMED-MAP-300184,gallbladder infection (variant 4),765810064,Acute Cholecystitis
SNOMED-MAP-300185,sugar diabetes (variant 0),440540065,Type 2 Diabetes Mellitus
SNOMED-MAP-300186,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300187,chest pain (variant 2),298570097,Chest Pain
SNOMED-MAP-300188,penicillin allergy (variant 3),919360058,Allergy to Penicillin
SNOMED-MAP-300189,sugar diabetes (variant 4),440540069,Type 2 Diabetes Mellitus
SNOMED-MAP-300190,sugar diabetes (variant 0),440540060,Type 2 Diabetes Mellitus
SNOMED-MAP-300191,sugar diabetes (variant 1),440540061,Type 2 Diabetes Mellitus
SNOMED-MAP-300192,sulfa allergy (variant 2),919310002,Allergy to Sulfonamide
SNOMED-MAP-300193,shortness of breath (variant 3),2670360073,Dyspnea
SNOMED-MAP-300194,high fever (variant 4),3866610064,Fever
SNOMED-MAP-300195,shortness of breath (variant 0),2670360075,Dyspnea
SNOMED-MAP-300196,sugar diabetes (variant 1),440540066,Type 2 Diabetes Mellitus
SNOMED-MAP-300197,high fever (variant 2),3866610067,Fever
SNOMED-MAP-300198,high blood pressure (variant 3),383410038,Essential Hypertension
SNOMED-MAP-300199,sulfa allergy (variant 4),919310009,Allergy to Sulfonamide
SNOMED-MAP-300200,chest pain (variant 0),298570090,Chest Pain
SNOMED-MAP-300201,chest pain (variant 1),298570091,Chest Pain
SNOMED-MAP-300202,sulfa allergy (variant 2),919310002,Allergy to Sulfonamide
SNOMED-MAP-300203,sugar diabetes (variant 3),440540063,Type 2 Diabetes Mellitus
SNOMED-MAP-300204,chest pain (variant 4),298570094,Chest Pain
SNOMED-MAP-300205,shortness of breath (variant 0),2670360075,Dyspnea
SNOMED-MAP-300206,chest pain (variant 1),298570096,Chest Pain
SNOMED-MAP-300207,penicillin allergy (variant 2),919360057,Allergy to Penicillin
SNOMED-MAP-300208,heart attack (variant 3),570540058,Acute Myocardial Infarction
SNOMED-MAP-300209,gallbladder infection (variant 4),765810069,Acute Cholecystitis
SNOMED-MAP-300210,chest pain (variant 0),298570090,Chest Pain
SNOMED-MAP-300211,high blood pressure (variant 1),383410031,Essential Hypertension
SNOMED-MAP-300212,heart attack (variant 2),570540052,Acute Myocardial Infarction
SNOMED-MAP-300213,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300214,sugar diabetes (variant 4),440540064,Type 2 Diabetes Mellitus
SNOMED-MAP-300215,sugar diabetes (variant 0),440540065,Type 2 Diabetes Mellitus
SNOMED-MAP-300216,sulfa allergy (variant 1),919310006,Allergy to Sulfonamide
SNOMED-MAP-300217,high fever (variant 2),3866610067,Fever
SNOMED-MAP-300218,shortness of breath (variant 3),2670360078,Dyspnea
SNOMED-MAP-300219,gallbladder infection (variant 4),765810069,Acute Cholecystitis
SNOMED-MAP-300220,heart attack (variant 0),570540050,Acute Myocardial Infarction
SNOMED-MAP-300221,sugar diabetes (variant 1),440540061,Type 2 Diabetes Mellitus
SNOMED-MAP-300222,shortness of breath (variant 2),2670360072,Dyspnea
SNOMED-MAP-300223,high fever (variant 3),3866610063,Fever
SNOMED-MAP-300224,heart attack (variant 4),570540054,Acute Myocardial Infarction
SNOMED-MAP-300225,high fever (variant 0),3866610065,Fever
SNOMED-MAP-300226,high fever (variant 1),3866610066,Fever
SNOMED-MAP-300227,high blood pressure (variant 2),383410037,Essential Hypertension
SNOMED-MAP-300228,high blood pressure (variant 3),383410038,Essential Hypertension
SNOMED-MAP-300229,penicillin allergy (variant 4),919360059,Allergy to Penicillin
SNOMED-MAP-300230,chest pain (variant 0),298570090,Chest Pain
SNOMED-MAP-300231,high blood pressure (variant 1),383410031,Essential Hypertension
SNOMED-MAP-300232,high blood pressure (variant 2),383410032,Essential Hypertension
SNOMED-MAP-300233,sulfa allergy (variant 3),919310003,Allergy to Sulfonamide
SNOMED-MAP-300234,sugar diabetes (variant 4),440540064,Type 2 Diabetes Mellitus
SNOMED-MAP-300235,gallbladder infection (variant 0),765810065,Acute Cholecystitis
SNOMED-MAP-300236,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300237,sugar diabetes (variant 2),440540067,Type 2 Diabetes Mellitus
SNOMED-MAP-300238,high fever (variant 3),3866610068,Fever
SNOMED-MAP-300239,penicillin allergy (variant 4),919360059,Allergy to Penicillin
SNOMED-MAP-300240,sulfa allergy (variant 0),919310000,Allergy to Sulfonamide
SNOMED-MAP-300241,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300242,high blood pressure (variant 2),383410032,Essential Hypertension
SNOMED-MAP-300243,chest pain (variant 3),298570093,Chest Pain
SNOMED-MAP-300244,heart attack (variant 4),570540054,Acute Myocardial Infarction
SNOMED-MAP-300245,gallbladder infection (variant 0),765810065,Acute Cholecystitis
SNOMED-MAP-300246,shortness of breath (variant 1),2670360076,Dyspnea
SNOMED-MAP-300247,shortness of breath (variant 2),2670360077,Dyspnea
SNOMED-MAP-300248,kidney failure (variant 3),4322460068,Chronic Kidney Disease Stage 3
SNOMED-MAP-300249,kidney failure (variant 4),4322460069,Chronic Kidney Disease Stage 3
SNOMED-MAP-300250,sulfa allergy (variant 0),919310000,Allergy to Sulfonamide
SNOMED-MAP-300251,sugar diabetes (variant 1),440540061,Type 2 Diabetes Mellitus
SNOMED-MAP-300252,heart attack (variant 2),570540052,Acute Myocardial Infarction
SNOMED-MAP-300253,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300254,sulfa allergy (variant 4),919310004,Allergy to Sulfonamide
SNOMED-MAP-300255,chest pain (variant 0),298570095,Chest Pain
SNOMED-MAP-300256,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300257,gallbladder infection (variant 2),765810067,Acute Cholecystitis
SNOMED-MAP-300258,sulfa allergy (variant 3),919310008,Allergy to Sulfonamide
SNOMED-MAP-300259,gallbladder infection (variant 4),765810069,Acute Cholecystitis
SNOMED-MAP-300260,penicillin allergy (variant 0),919360050,Allergy to Penicillin
SNOMED-MAP-300261,high blood pressure (variant 1),383410031,Essential Hypertension
SNOMED-MAP-300262,sugar diabetes (variant 2),440540062,Type 2 Diabetes Mellitus
SNOMED-MAP-300263,kidney failure (variant 3),4322460063,Chronic Kidney Disease Stage 3
SNOMED-MAP-300264,sulfa allergy (variant 4),919310004,Allergy to Sulfonamide
SNOMED-MAP-300265,sugar diabetes (variant 0),440540065,Type 2 Diabetes Mellitus
SNOMED-MAP-300266,sugar diabetes (variant 1),440540066,Type 2 Diabetes Mellitus
SNOMED-MAP-300267,high fever (variant 2),3866610067,Fever
SNOMED-MAP-300268,sulfa allergy (variant 3),919310008,Allergy to Sulfonamide
SNOMED-MAP-300269,kidney failure (variant 4),4322460069,Chronic Kidney Disease Stage 3
SNOMED-MAP-300270,sugar diabetes (variant 0),440540060,Type 2 Diabetes Mellitus
SNOMED-MAP-300271,high fever (variant 1),3866610061,Fever
SNOMED-MAP-300272,kidney failure (variant 2),4322460062,Chronic Kidney Disease Stage 3
SNOMED-MAP-300273,chest pain (variant 3),298570093,Chest Pain
SNOMED-MAP-300274,chest pain (variant 4),298570094,Chest Pain
SNOMED-MAP-300275,heart attack (variant 0),570540055,Acute Myocardial Infarction
SNOMED-MAP-300276,high fever (variant 1),3866610066,Fever
SNOMED-MAP-300277,shortness of breath (variant 2),2670360077,Dyspnea
SNOMED-MAP-300278,gallbladder infection (variant 3),765810068,Acute Cholecystitis
SNOMED-MAP-300279,high blood pressure (variant 4),383410039,Essential Hypertension
SNOMED-MAP-300280,sulfa allergy (variant 0),919310000,Allergy to Sulfonamide
SNOMED-MAP-300281,penicillin allergy (variant 1),919360051,Allergy to Penicillin
SNOMED-MAP-300282,heart attack (variant 2),570540052,Acute Myocardial Infarction
SNOMED-MAP-300283,chest pain (variant 3),298570093,Chest Pain
SNOMED-MAP-300284,penicillin allergy (variant 4),919360054,Allergy to Penicillin
SNOMED-MAP-300285,penicillin allergy (variant 0),919360055,Allergy to Penicillin
SNOMED-MAP-300286,chest pain (variant 1),298570096,Chest Pain
SNOMED-MAP-300287,sulfa allergy (variant 2),919310007,Allergy to Sulfonamide
SNOMED-MAP-300288,sulfa allergy (variant 3),919310008,Allergy to Sulfonamide
SNOMED-MAP-300289,high fever (variant 4),3866610069,Fever
SNOMED-MAP-300290,penicillin allergy (variant 0),919360050,Allergy to Penicillin
SNOMED-MAP-300291,sugar diabetes (variant 1),440540061,Type 2 Diabetes Mellitus
SNOMED-MAP-300292,chest pain (variant 2),298570092,Chest Pain
SNOMED-MAP-300293,shortness of breath (variant 3),2670360073,Dyspnea
SNOMED-MAP-300294,kidney failure (variant 4),4322460064,Chronic Kidney Disease Stage 3
SNOMED-MAP-300295,gallbladder infection (variant 0),765810065,Acute Cholecystitis
SNOMED-MAP-300296,gallbladder infection (variant 1),765810066,Acute Cholecystitis
SNOMED-MAP-300297,heart attack (variant 2),570540057,Acute Myocardial Infarction
SNOMED-MAP-300298,sugar diabetes (variant 3),440540068,Type 2 Diabetes Mellitus
SNOMED-MAP-300299,sugar diabetes (variant 4),440540069,Type 2 Diabetes Mellitus
SNOMED-MAP-300300,kidney failure (variant 0),4322460060,Chronic Kidney Disease Stage 3
SNOMED-MAP-300301,high blood pressure (variant 1),383410031,Essential Hypertension
SNOMED-MAP-300302,kidney failure (variant 2),4322460062,Chronic Kidney Disease Stage 3
SNOMED-MAP-300303,penicillin allergy (variant 3),919360053,Allergy to Penicillin
SNOMED-MAP-300304,high fever (variant 4),3866610064,Fever
SNOMED-MAP-300305,high fever (variant 0),3866610065,Fever
SNOMED-MAP-300306,heart attack (variant 1),570540056,Acute Myocardial Infarction
SNOMED-MAP-300307,high blood pressure (variant 2),383410037,Essential Hypertension
SNOMED-MAP-300308,gallbladder infection (variant 3),765810068,Acute Cholecystitis
SNOMED-MAP-300309,high blood pressure (variant 4),383410039,Essential Hypertension
SNOMED-MAP-300310,gallbladder infection (variant 0),765810060,Acute Cholecystitis
SNOMED-MAP-300311,chest pain (variant 1),298570091,Chest Pain
SNOMED-MAP-300312,shortness of breath (variant 2),2670360072,Dyspnea
SNOMED-MAP-300313,heart attack (variant 3),570540053,Acute Myocardial Infarction
SNOMED-MAP-300314,heart attack (variant 4),570540054,Acute Myocardial Infarction
SNOMED-MAP-300315,heart attack (variant 0),570540055,Acute Myocardial Infarction
SNOMED-MAP-300316,high blood pressure (variant 1),383410036,Essential Hypertension
SNOMED-MAP-300317,high fever (variant 2),3866610067,Fever
SNOMED-MAP-300318,sugar diabetes (variant 3),440540068,Type 2 Diabetes Mellitus
SNOMED-MAP-300319,sugar diabetes (variant 4),440540069,Type 2 Diabetes Mellitus
SNOMED-MAP-300320,penicillin allergy (variant 0),919360050,Allergy to Penicillin
SNOMED-MAP-300321,heart attack (variant 1),570540051,Acute Myocardial Infarction
SNOMED-MAP-300322,high blood pressure (variant 2),383410032,Essential Hypertension
SNOMED-MAP-300323,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300324,chest pain (variant 4),298570094,Chest Pain
SNOMED-MAP-300325,high blood pressure (variant 0),383410035,Essential Hypertension
SNOMED-MAP-300326,high fever (variant 1),3866610066,Fever
SNOMED-MAP-300327,chest pain (variant 2),298570097,Chest Pain
SNOMED-MAP-300328,gallbladder infection (variant 3),765810068,Acute Cholecystitis
SNOMED-MAP-300329,heart attack (variant 4),570540059,Acute Myocardial Infarction
SNOMED-MAP-300330,heart attack (variant 0),570540050,Acute Myocardial Infarction
SNOMED-MAP-300331,sulfa allergy (variant 1),919310001,Allergy to Sulfonamide
SNOMED-MAP-300332,sugar diabetes (variant 2),440540062,Type 2 Diabetes Mellitus
SNOMED-MAP-300333,high blood pressure (variant 3),383410033,Essential Hypertension
SNOMED-MAP-300334,heart attack (variant 4),570540054,Acute Myocardial Infarction
SNOMED-MAP-300335,penicillin allergy (variant 0),919360055,Allergy to Penicillin
SNOMED-MAP-300336,shortness of breath (variant 1),2670360076,Dyspnea
SNOMED-MAP-300337,sugar diabetes (variant 2),440540067,Type 2 Diabetes Mellitus
SNOMED-MAP-300338,gallbladder infection (variant 3),765810068,Acute Cholecystitis
SNOMED-MAP-300339,chest pain (variant 4),298570099,Chest Pain
SNOMED-MAP-300340,sugar diabetes (variant 0),440540060,Type 2 Diabetes Mellitus
SNOMED-MAP-300341,penicillin allergy (variant 1),919360051,Allergy to Penicillin
SNOMED-MAP-300342,chest pain (variant 2),298570092,Chest Pain
SNOMED-MAP-300343,kidney failure (variant 3),4322460063,Chronic Kidney Disease Stage 3
SNOMED-MAP-300344,gallbladder infection (variant 4),765810064,Acute Cholecystitis
SNOMED-MAP-300345,gallbladder infection (variant 0),765810065,Acute Cholecystitis
SNOMED-MAP-300346,high blood pressure (variant 1),383410036,Essential Hypertension
SNOMED-MAP-300347,heart attack (variant 2),570540057,Acute Myocardial Infarction
SNOMED-MAP-300348,high fever (variant 3),3866610068,Fever
SNOMED-MAP-300349,high fever (variant 4),3866610069,Fever
SNOMED-MAP-300350,penicillin allergy (variant 0),919360050,Allergy to Penicillin
SNOMED-MAP-300351,heart attack (variant 1),570540051,Acute Myocardial Infarction
SNOMED-MAP-300352,sulfa allergy (variant 2),919310002,Allergy to Sulfonamide
SNOMED-MAP-300353,sugar diabetes (variant 3),440540063,Type 2 Diabetes Mellitus
